"ID","単語","品詞","意味","例文","訳文","発音記号","類義語","反意語","SVL"
"725","precious","形容詞","貴重な、高価な; 大切な、かけがえのない","The museum was full of rare and precious artefacts.","博物館は希少で高価な工芸品でいっぱいだった。","/préʃəs/","valuable, beloved","","2"
"726","detect","動詞","～を感知する、探知する、検知する","The smoke alarm detected smoke from the broken oven and started to beep.","煙探知機は、壊れたオーブンからの煙を感知して鳴り始めた。","/ditékt/","discover, find","","5"
"727","extant","形容詞","現存の、現存する","Even though the artist burned a lot of his work, many of his poems are still extant.","その芸術家は自身の作品の多くを燃やしてしまったが、彼の詩はまだ多数現存している。","/ikstǽnt/","existing","","N/A"
"728","enclose","動詞","(封筒などに)～を入れる; ～を取り囲む; ～を添付する","He enclosed the letter in a manila envelope.","彼は手紙を茶封筒に入れた。","/inklóuz/","hedge, include, surround","","4"
"729","salute","動詞/名詞","～に敬礼する、敬意を表する / 敬礼、あいさつ","The soldier saluted his superior officer.","兵士は上官に敬礼した。","/səlú:t/","greet, honour, hail","","6"
"730","site","名詞","場所、現場; 予定地","The site of the new library is to be next to the old one.","新しい図書館の場所は古い図書館の隣になる。","/sait/","place, position","","4"
"731","dozen","名詞","ダース、12個、12人","A dozen tables were sent, but only 10 arrived.","12台のテーブルが発送されたが10台しか届かなかった。","/dʌ́zn/","","","2"
"732","infancy","名詞","初期段階; 幼少、幼児","During the dot-com industry's infancy, many companies didn't survive long.","ドットコム産業の黎明(れいめい)期には、長続きしない会社が多かった。","/ínfənsi/","babyhood, childhood","","8"
"733","resent","動詞","～に憤慨する、腹を立てる","She liked her work but resented having to work late.","彼女は仕事は好きだったが、遅くまで働かなければならないことに腹を立てていた。","/rizént/","","","6"
"734","response","名詞","反響、反応; 応答、返答","The initial response by reviewers to his new novel was positive.","彼の新しい小説に対する評論家らの最初の反応は肯定的であった。","/rispɔ́ns/","reaction, reply","","3"
"735","problematic","形容詞","解決しがたい、問題のある; 扱いにくい","The business partners have different visions for the company, which may become problematic in the future.","ビジネスパートナーらは会社に対し異なる展望があり、それが将来問題になるかもしれない。","/prɔ̀bləmǽtik/","hard, dodgy, questionable","","8"
"736","perch","動詞/名詞","(鳥が)止まる; (高い位置に)ある / (鳥の)止まり木","The bird perched on the branch above the man.","鳥は男の頭上にある枝に止まった。","/pə́:rtʃ/","roost","","6"
"737","completely","副詞","完全に、すっかり、まったく","The ground was completely covered by snow, so he drove carefully.","地面が完全に雪で覆われていたので、彼は慎重に運転した。","/kəmplí:tli/","totally, entirely, perfectly, utterly","incompletely, partially","2"
"738","creative","形容詞","創造力のある、独創的な","She was a creative person, always coming up with new ideas for stories.","彼女は独創的な人で、常に物語の新しいアイデアが浮かんでいた。","/kriéitiv/","innovative, imaginative, ingenious","","3"
"739","caution","名詞/動詞","注意、用心、慎重さ / ～に警告する、忠告する","You should exercise extreme caution when driving in icy conditions.","凍結状況での運転には細心の注意を払わねばならない。","/kɔ́:ʃən/","alertness, care, carefulness, alert, precaution","","4"
"740","nominate","動詞","～を指名する、推薦する","The shareholders can each nominate one person for the director position.","株主らは各自、取締役の座に就く人を1人指名できる。","/nɔ́mənèit/","appoint, designate","","7"
"741","sophisticated","形容詞","精巧な、高度な; 都会的な、洗練された","The vault had a sophisticated lock that couldn't be broken into.","金庫室の鍵は精巧だったので破ることはできなかった。","/səfístəkèitid/","advanced, cosmopolitan, complex, intricate","unsophisticated","6"
"742","constantly","副詞","絶えず、頻繁に、繰り返し","His mother is constantly telling him to tidy his bedroom.","彼の母は、寝室を整頓しなさいといつも彼に言っている。","/kɔ́nstəntli/","regularly, commonly","infrequently, rarely, seldom","4"
"743","tact","名詞","如才なさ、要領の良さ、機転、配慮","He showed incredible tact while dealing with difficult customers.","難しい客の相手をする際に彼は驚くほど如才なかった。","/tækt/","diplomacy, thoughtfulness","","9"
"744","sorrow","名詞","深い悲しみ、悲哀、悲痛","The widow's sorrow was evident during the funeral.","その未亡人の悲しみは葬式の間じゅう見て取れた。","/sɔ́rou/","sadness, grief, distress","","4"
"745","disapproval","名詞","非難、不満、承知しないこと","I put out my cigarette after seeing the look of disapproval on my mother's face.","母が非難の表情を見せたので私はたばこを消した。","/dìsəprú:vəl/","dislike, displeasure","approval","6"
"746","background","名詞","生い立ち、経歴、学歴; 背景、事情","His Asian background granted him many advantages when travelling to China.","アジア人という生い立ちは、中国へ旅行した際、彼にとっていろいろ都合が良かった。","/bǽkgràund/","history, environment, context","foreground","3"
"747","solid","名詞/形容詞","固体、固形物 / 固形の; 頑丈な","When a liquid reaches its freezing point, it becomes a solid.","液体は氷点に達すると固体になる。","/sɔ́lid/","rigid","","2"
"748","embark","動詞","(船・飛行機に)乗る; 着手する、乗り出す","The ship was about to embark on its journey around the world.","その船は世界一周旅行に乗り出すところだった。","/imbɑ́:rk/","launch, sail","","7"
"749","force","動詞/名詞","～に(無理に)…させる、強いる / 暴力、影響力; 軍隊","You can force him out of your house if he won't leave when you ask.","頼んでも彼が君の家から出て行こうとしないなら、無理やりにでも追い出してしまえばいいよ。","/fɔ́:rs/","make, press, compel; energy, power","","2"
"750","handy","形容詞","便利な、使いやすい; 手近にある、すぐに行ける","The explorer's survival experience would come in handy in the jungle.","その冒険家のサバイバル体験は、ジャングルでは役に立つだろう。","/hǽndi/","convenient, useful","","3"
"751","insist","動詞","～だと強く要求する、～だと譲らない; ～を主張する","The teacher insisted that her students complete their homework on time.","教師は、宿題を期限通りに終わらせるよう生徒たちに強く求めた。","/insíst/","claim, declare, assert","","3"
"752","radiant","形容詞","輝いている、明るい、晴れ晴れとした","Always radiant and with a positive attitude, Jack is the ultimate teacher.","常に晴れやかでポジティブな態度のジャックは、究極の教師である。","/réidiənt/","beaming, glowing","","9"
"753","assimilate","動詞","～を同化させる; (知識など)を吸収する; 同化する","The government wanted immigrants to assimilate quickly to the new culture.","政府は移民が早く新しい文化に同化することを望んだ。","/əsíməlèit/","absorb, incorporate","","9"
"754","crucial","形容詞","決定的な、極めて重要な","It is crucial that you tell the police everything that you saw.","見たことを全て警察に話すことが極めて重要である。","/krú:ʃəl/","essential, critical","","5"
"755","internal","形容詞","内部の、体内の; 内在的な; 国内の","The surgeon had to open the patient's chest as she suspected internal bleeding.","内出血の疑いがあるため、外科医は患者を開胸した。","/intə́:nl/","inner, domestic, endogenous","external","8"
"756","rarely","副詞","めったに～ない","She loves sleeping late and rarely gets up before 9:00 a.m.","彼女は遅くまで寝るのが好きで、午前9時前に起きることはほとんどない。","/rɛ́əli/","seldom, hardly","frequently","3"
"757","shift","名詞","(交代制の)勤務時間; 変化、転換","He was working the night shift so only got to bed as the sun was rising.","彼は夜間勤務のため、日が昇る頃にようやく就寝できた。","/ʃift/","","","4"
"758","human","形容詞/名詞","人間の、人的な; 人間的な、人間らしい / 人、人類","There were several human species that walked the earth, but now there is only one.","かつて地球上を何種類もの人類が歩いていたが、今では1種類しかいない。","/hjú:mən/","hominid","inhuman","2"
"759","constituency","名詞","選挙区; 有権者","He was elected to represent the Portsmouth constituency because of his popular policies.","彼の政策は支持を集めていたので、ポーツマス選挙区の代表として選出された。","/kənstítjuənsi/","","","9"
"760","refuse","動詞","～を断る、拒絶する、拒否する","Many governments refuse to negotiate with terrorists.","ほとんどの政府はテロリストとの交渉を拒否する。","/rifjú:z/","decline, deny","accept","3"
"761","spiral","形容詞/名詞","らせん状の / 悪循環","There was a beautiful spiral staircase that went up to the attic.","美しいらせん階段があり、屋根裏まで続いていた。","/spáiərəl/","","","9"
"762","valid","形容詞","有効な、効力のある; 妥当な、根拠のある","The coupon for a free lunch was valid until the end of the month.","ランチの無料クーポンは今月末まで有効だった。","/vǽlid/","legitimate","void, invalid","6"
"763","venture","名詞/動詞","冒険的事業; 冒険的企て / 危険を冒して～する","The disastrous business venture cost him all his savings.","ベンチャービジネスの大失敗で彼は貯金の全てを失った。","/véntʃə/","gamble, jeopardise, risk","","4"
"764","diffuse","動詞/形容詞","(気体など)を拡散する、広める / 拡散した、普及した","The fan helped to diffuse cool air around the room.","扇風機が冷たい空気を室内に行き渡らせる補助になっていた。","/difjú:z/ (動), /difjú:s/ (形)","diluted, scattered","","9"
"765","ethics","名詞","倫理、道義、道徳; 倫理学","The politician was accused of violating professional ethics by accepting gifts.","贈り物を受け取ったことで、その政治家は職業倫理違反の非難を受けた。","/éθiks/","ethos, morality, conscience","","6"
"766","imaginative","形容詞","想像力に富んだ、創作力のある; 想像の、想像による","The imaginative author had created a fantasy world that was full of wonder.","その想像力豊かな作家は驚嘆に満ちた空想世界を作り上げた。","/imǽdʒənətiv/","creative, ingenious, innovative","","5"
"767","salvation","名詞","救助、救済手段; (キリスト教における)救済、救い","Jogging every morning has been my personal salvation from stress.","毎朝のジョギングはストレスからの個人的な救済(手段)となっている。","/sælvéiʃən/","deliverance, rescue","","9"
"768","expire","動詞","(期限などが)切れる、満了する","The milk won't expire for another week so it's good to drink.","牛乳はあと1週間賞味期限が切れることはないから飲んでも大丈夫。","/ikspáiə/","terminate, run out","","8"
"769","articulate","動詞","明確に述べる、考えを言葉ではっきり表す","He was an excellent debater because he was very articulate.","彼は極めて明瞭に表現できるので優れた討論者だった。","/ɑ:rtíkjulət/","fluent","","10"
"770","coincide","動詞","一致する、合致する; 同時に起こる","The opinions of the politicians roughly coincide with those of the population.","政治家の意見は住民とおおよそ一致している。","/kòuinsáid/","coexist, concur","","7"
"771","intermediate","形容詞/名詞","中級の、中間の / 中間にあるもの、仲介者","Some of the questions used vocabulary that was too complicated for intermediate students.","設問の中には中級の生徒には難解過ぎる言葉を使ったものもあった。","/ìntərmí:diət/","average, medium, moderate","","6"
"772","awesome","形容詞","荘厳な、息を飲むような; すごい、素晴らしい","The pyramids of Giza are a truly awesome sight.","ギザのピラミッドは実に息を飲むような光景だ。","/ɔ́:səm/","amazing, astounding, fabulous, wonderful, splendid","","9"
"773","conformist","名詞","(慣習・規則などに)順応する人、従う人","The ultimate conformist, she always obeyed the rules.","彼女は究極の体制順応主義者で、常にルールに従っていた。","/kənfɔ́:rmist/","","dissenter","N/A"
"774","distinctive","形容詞","独特の、特徴的な、明確に区別できる","He knew it was her behind him because of her distinctive laugh.","独特の笑い方によって、後ろにいるのが彼女だと分かった。","/distíŋktiv/","unique, different","","6"
"775","collapse","名詞/動詞","崩壊、破綻 / 崩壊する、崩れる; 破綻する","A sudden economic collapse meant that millions of people lost their jobs.","経済の突然の崩壊は、何百万もの人が失業することを意味した。","/kəlǽps/","failure; crumple, implode","","4"
"776","conception","名詞","概念、認識; 着想、構想","The royal family have no conception of what life is like for regular people.","王族は、一般人の生活がどんなものか認識していない。","/kənsépʃən/","notion, perception; idea","fact, reality","6"
"777","statute","名詞","制定法、法令、法規","Local councils are required by statute to provide care homes for the elderly.","法律により、高齢者にケアホームを提供することが地方自治体に義務付けられている。","/stǽtʃu:t/","act, constitution, law, ordinance","","8"
"778","cope","動詞","うまく処理する、対処する","Finding a way to relax can help you cope with the stress and worries of daily life.","リラックスする方法を見つけることで、日常のストレスや心配事に対処できるようになる。","/koup/","deal with, manage, get along","","5"
"779","progress","名詞/動詞","進歩、向上; 前進 / 進歩する; 前進する","The central bank made progress in controlling inflation by adjusting interest rates.","中央銀行は金利の調整によるインフレーションの操作において進歩を成し遂げた。","/próugres/ (名), /prəgrés/ (動)","advancement","","2"
"780","brisk","形容詞","(動きが)きびきびした、てきばきした、元気のいい","His heart was racing after the brisk walk with his dog.","愛犬と元気よく散歩した後、彼の鼓動が激しくなっていた。","/brisk/","active, energetic, lively, snappy","","7"
"781","cancel","動詞","～を中止する、キャンセルする、取り消す","You will get a full refund if you cancel your order within 24 hours.","24時間以内にご注文を取り消された場合、全額払い戻しを受けられます。","/kǽnsəl/","abort","","3"
"782","momentum","名詞","勢い、弾み","The team started to lose momentum after an impressive start to the season.","そのチームは、今シーズン見事なスタートを切ったあと勢いをなくし始めた。","/mouméntəm, məméntəm/","boost, encouragement, incentive, impulse","","9"
"783","forthcoming","形容詞","間近に迫った、やがて来る、まさに現れようとしている","Who do you think will win the forthcoming presidential election?","間近に迫った大統領選挙で勝つのは誰だと思いますか。","/fɔ̀:rθkʌ́miŋ/","upcoming","","7"
"784","accomplish","動詞","(目標、計画など)を遂行する、達成する","They had too few hours to accomplish the task effectively.","その仕事を効率的に遂行するには彼らには時間がなさすぎた。","/əkʌ́mpliʃ, əkɔ́mpliʃ/","achieve, execute","","4"
"785","routine","名詞","日課、いつもしている仕事、お決まりの手順","It's important to have some exercise in your daily routine.","日課に少し運動を取り入れることが大切だ。","/ru:tí:n/","","","5"
"786","tribute","名詞","称賛、敬意、感謝","The team wore black armbands in tribute to those who had passed away.","チームは死者への敬意を表す黒いアームバンドを着用した。","/tríbju:t/","accolade, homage","","7"
"787","casual","形容詞","略式の、カジュアルな; さりげない; 偶然の","Is the dress code tonight formal or casual?","今夜のドレスコードは正装ですか、それとも普段着ですか？","/kǽʒuəl/","everyday, informal, accidental, occasional","formal","3"
"788","permit","動詞/名詞","～を許可する; ～を可能にする / 許可証","The authorities are not likely to permit the construction of a casino in this part of town.","当局が街のこの区域でカジノの建設を許可する可能性は低い。","/pəmít/ (動), /pə́:rmit/ (名)","allow, empower, enable, let, tolerate","","2"
"789","deduction","名詞","演繹(えんえき)法; 推論; 控除、差し引き","Sherlock Holmes was famous for solving mysteries using deduction.","シャーロック・ホームズは演繹的推論で謎解きをすることで知られていた。","/didʌ́kʃən/","conclusion, reduction, subtraction","","9"
"790","accuracy","名詞","正確さ、的確さ、精密さ、精度","Swiss watches are known to have the best accuracy.","スイス製の腕時計はその最高の正確さで知られている。","/ǽkjurəsi/","preciseness, veracity","inaccuracy, imprecision","6"
"791","essential","形容詞","必須の、絶対必要な、不可欠な","To pass the course it is essential to attend all classes and complete all homework.","課程を修了するには、全ての授業に出席し、宿題を全部完成させることが必須である。","/isénʃəl/","necessary, indispensable, elemental, crucial, fundamental","","3"
"792","ingredient","名詞","材料、原料; 要素、資質","He went to the shops to fetch the ingredients for the recipe.","そのレシピの材料を手に入れるため彼は買い物に行った。","/ingrí:diənt/","component, element, factor","","6"
"793","triumph","名詞","大成功、功績、大勝利、勝利","This year's festival was a triumph with a record attendance.","今年の祭典は記録的な動員となり大成功だった。","/tráiəmf/","accomplishment, achievement, success, victory","","4"
"794","continuous","形容詞","継続的な、絶え間ない、連続的な","If you lift weights every day you will see continuous muscle growth.","毎日ウェイトを上げていれば継続的な筋肉の成長を感じるだろう。","/kəntínjuəs/","incessant, running","discontinuous, periodic","5"
"795","distract","動詞","(人・注意など)をそらす、散らす、紛らす","He tried to distract his mother by shouting so his brother could sneak out of the house.","彼は叫ぶことで母親の気を散らして、兄が家からこっそり抜け出せるようにした。","/distrǽkt/","","attract","7"
"796","structure","名詞","構造、作り、仕組み","The company has a complex organisational structure with many levels of management.","その会社の組織構造は複雑で、管理者のレベルは何層にも及んでいる。","/strʌ́ktʃə/","texture, construction, framework","","3"
"797","ideal","形容詞/名詞","理想的な、最適な; 想像上の / 理想","He was an ideal student, always punctual and reliable with homework.","彼は、いつも時間に正確で宿題も忘れてこないという理想的な生徒だった。","/aidíəl/","optimal","","3"
"798","initiate","動詞","～を新たに始める、～に着手する; ～に初歩を教える","Due to all the troubles, the university initiated a programme of reform.","一連の問題により、大学側は改革計画を開始した。","/iníʃièit/","begin, launch, start","","6"
"799","selective","形容詞","入念に選択する、慎重に選ぶ; えり抜きの、選別の","The basketball coach was very selective with his team, accepting only tall and capable players.","そのバスケットボールチームのコーチはチームに関して非常に選抜が厳しく、背も能力も高い者しか受け入れなかった。","/səléktiv/","particular, picky","","7"
"800","seldom","副詞","めったに～ない","He lived far away and therefore seldom saw his family.","彼は遠くに住んでいたため家族にはほとんど会えなかった。","/séldəm/","rarely","often","3"
"801","esteem","名詞","高い評価、尊敬","The manager was held in high esteem by all employees, so morale was high.","マネジャーは従業員全員から高く評価されていたので、士気は高かった。","/istí:m/","respect, honour, prestige","","5"
"802","suppose","動詞","～だと思う; ～と仮定する、推定する","He supposed his application had been lost by some incompetent bureaucrat.","彼は、無能な役人が自分の申請書を紛失したのではないかと考えた。","/səpóuz/","assume, presume","","3"
"803","troop","名詞","群れ、隊、一団; 軍隊","A small troop of scouts went on a hiking trip to Ben Nevis.","少人数のスカウトの一団がベン・ネビス山を目指してハイキングに出掛けた。","/trú:p/","company","","5"
"804","occurrence","名詞","出来事、事件; 発生、(資源などの)産出","Quarrels between the brothers are common occurrences.","彼らの兄弟げんかはよくある事だ。","/əkʌ́rəns/","incident, existence","","7"
"805","similar","形容詞","類似した、似た、同様の、同じような","The twins looked similar but they were not identical.","その双子はよく似ていたが、全く同じというわけではなかった。","/símələ/","comparable, parallel","","2"
"806","inspire","動詞","(人に)～を動機付ける、触発する; ～に着想を与える","Her charitable actions inspired all around her to do better.","彼女の慈悲深い行動は、より良い行いをしようと周りの皆を触発した。","/inspáiə/","enlighten, impress, motivate, evoke","","4"
"807","positive","形容詞","肯定的な、有意義な; 積極的な、前向きな","The student's work experience was definitely more positive than negative.","その学生が得た就労経験は間違いなくマイナス面よりプラス面が大きいものだった。","/pɔ́zətiv/","favourable, certain, sure","negative","2"
"808","substance","名詞","物質、物; 本質","Controlled substances can be bought only with a special permit.","規制物質を購入するには特別な許可が必要だ。","/sʌ́bstəns/","material","","4"
"809","underneath","前置詞/副詞","～の下に、～の真下に / 下に、下側に; 根底に","She sat underneath the tree enjoying the coolness of the shade.","彼女は木の下に腰を下ろし、木陰の涼を楽しんだ。","/ʌ̀ndərní:θ/","below, beneath, under","","3"
"810","frame","名詞/動詞","体格、骨格; 額縁 / ～を縁取る; ～にぬれぎぬを着せる","His slight frame isn't ideal for playing rugby.","細身の体格なので、彼はラグビーをするのに向いていない。","/fréim/","border, physique; fabricate","","3"
"811","avenue","名詞","大通り、並木道","The avenue was lined with cherry blossom trees on both sides.","大通りの両側は桜並木に縁取られていた。","/ǽvənjù:/","boulevard, road","","3"
"812","text","名詞","本文、原文; 文献","The article had 10 pages of text that needed correcting.","その記事は文章10ページにわたって修正が必要だった。","/tékst/","","","2"
"813","alien","形容詞/名詞","なじみのない; 外国の / 宇宙人、〔法律〕外国人","Working in quiet surroundings was alien to his nature.","静かな環境で働くことは彼の性に合わなかった。","/éiljən, éiliən/","foreign; foreigner, nonnative, outsider, stranger","","4"
"814","disparity","名詞","不均等、不等、差異","There is an increasing disparity between the richest and poorest.","最も富める者と最も貧しき者との格差はますます広がっている。","/dispǽrəti/","inequality","","11"
"815","initially","副詞","初めのうちは; 最初に、初めに、冒頭に","We initially looked for a flat in the city centre, but we settled for one in the suburbs.","当初は市街中心部でアパートを探していたが、郊外の物件に落ち着いた。","/iníʃəli/","originally, primarily","","5"
"816","weave","動詞","(じゅうたんなど)を織る、(籠など)を編む","Spiders can weave webs that are almost invisible but incredibly strong.","クモは、全く目立たないのに驚くほど強靱(きょうじん)な巣を作ることができる。","/wí:v/","intertwine, lace","","4"
"817","exposure","名詞","(日光・危険などに)さらされること; 露出、暴露","The polar explorers hadn't survived due to exposure to the freezing cold.","極地探検家らは、凍えるような寒さにさらされたため生き残れなかった。","/ikspóuʒə/","disclosure","concealment","5"
"818","emergence","名詞","出現、発生; 創発","The TV show saw the emergence of several talented actors.","そのテレビ番組では新たな才能ある俳優たちの出現を目撃した。","/imə́:rdʒəns/","appearance","disappearance","7"
"819","upright","形容詞","直立した、真っすぐな; 垂直の","When a flight is landing, seats should be in an upright position.","飛行機が着陸する際には、座席は真っすぐ立った位置にないといけない。","/ʌ́pràit/","vertical","horizontal","4"
"820","destructive","形容詞","破壊的な","The destructive power of the atomic bomb concerned all nations.","核爆弾の破壊力は、あらゆる国が懸念した。","/distrʌ́ktiv/","","constructive","5"
"841","native","形容詞","出生地の、故郷の; 土着の、固有の; 生まれつきの","He wasn't a native speaker of English but he was still very proficient.","彼は母語としての英語話者ではなかったが、それでも非常に堪能であった。","/néitiv/","born, indigenous, local","","2"
"842","isolated","形容詞","(建物・場所などが)孤立した、隔離された、遠く離れた","The tribe was on an isolated island and had never had contact with the outside world.","その民族は孤島におり、外界と一切接触を持ったことがなかった。","/áisəlèitid/","secluded, remote","","5"
"843","identical","形容詞","(あらゆる点で)そっくりの、一致した、同じ","The brothers weren't twins but were almost identical.","その兄弟は双子ではなかったが、ほぼ完全にそっくりだった。","/aidéntikəl/","equal, indistinguishable, same","","7"
"844","layoff","名詞","一時解雇、レイオフ","The company hit hard times, and there were several layoffs of key staff.","その会社は難局を迎え、主要スタッフが何人か一時解雇された。","/léiɔ̀f/","","","9"
"845","manual","形容詞/名詞","肉体を使う、体力の必要な; 手動の / 手引書、説明書","He preferred manual labour, which is why he became a welder after school.","彼は肉体労働を好み、それが理由で学校を出てから溶接工となった。","/mǽnjuəl/","","automatic","4"
"846","emergency","名詞","緊急事態、非常事態","The pandemic reached a level where a national emergency was called.","パンデミックは国家緊急事態が出されるレベルに達した。","/imə́:rdʒənsi/","crisis","","4"
"847","textile","名詞","織物、布地","A textile mill was built to produce clothing products.","衣服製品を生産するために織物工場が建設された。","/tékstail/","fabric","","7"
"848","participant","名詞","参加者、出場者、関係者、当事者","The doctor was an active participant in the discussion on drug legalisation.","その医者は薬物合法化についての討論に積極的に参加していた。","/pɑ:rtísəpənt/","member, party","","6"
"849","attitude","名詞","態度、心構え、姿勢; 考え方、意見","We can win this match if we play with a positive attitude.","前向きな姿勢で対戦すれば、私たちはこの試合に勝てる。","/ǽtitjù:d/","behaviour, conduct, demeanour, posture","","3"
"850","external","形容詞","外部の、外側の","The external layer of skin, called the epidermis, is the largest breathing organ in the human body.","皮膚の最外層は表皮と呼ばれ、人体で最大の呼吸器官である。","/ikstə́:nl/","exterior, exogenous, extrinsic, outer","internal","4"
"851","mainstream","名詞","(意見などの)主流、主潮、大勢","The original fans no longer liked the band since they had become more mainstream.","メインストリーム寄りになってしまったバンドを、当初からのファンはもはや好きになれなかった。","/méinstrì:m/","","","7"
"852","flourish","動詞","元気にやっている; 繁盛する、栄える","Instead of being shy at her new school, she had flourished and made many new friends.","彼女は新しい学校に気後れすることなく活発に振る舞い、たくさんの友達ができた。","/flə́:riʃ/","thrive, prosper","","5"
"853","mobilise","動詞","～を動員する; ～を結集する","During times of war, the country will mobilise all of its armed forces.","戦時下では、国は全ての軍隊を動員する。","/móubəlàiz/","muster, rally","","9"
"854","reasonable","形容詞","合理的な、道理にかなった、正当性のある","It's reasonable to expect people to arrive on time for an interview.","面接に時間通りに来るのを期待するのは当然である。","/rí:zənəbl/","rational, logical","unreasonable","2"
"855","contain","動詞","～を阻止する、抑制する; ～を含む、～が入っている","If we don't contain the pest problem, it will soon become unmanageable.","害虫の問題を封じ込めないと、そのうち手に負えなくなる。","/kəntéin/","control, limit; include, comprise","","2"
"856","unrest","名詞","不安、不穏、不満; 動揺","Political unrest in Hong Kong led to months of demonstrations and riots.","香港の政情不安は何ヵ月にもおよぶデモや暴動につながった。","/ʌnrést/","turmoil","calm, ease, peace","9"
"857","difficulty","名詞","困難、難しさ","The detour was only a minor difficulty for commuters as it took only an extra five minutes.","迂回(うかい)には5分しか余分にかからなかったから、通勤者らはそれほど苦労せずに済んだ。","/dífikəlti/","hardship, adversity, dilemma","ease","2"
"858","conscience","名詞","道義心、良心、善悪の判断力","The doctor's conscience would not allow him to refuse treatment to any patient.","道義心のため、その医者はどのような患者に対しても治療を拒否することができなかった。","/kɔ́nʃəns/","ethics, morality","","4"
"859","compensate","動詞","～を補う、埋め合わせる、補償する","It's important to drink more water in summer to compensate for dehydration.","夏には脱水を補うために水を多く飲むことが大事だ。","/kɔ́mpənsèit/","refund, reimburse","","7"
"860","diplomatic","形容詞","外交の、外交に関する; 駆け引きのうまい","Diplomatic relations between the two countries improved with the new government.","両国間の外交関係は、新政府によって改善した。","/dìpləmǽtik/","politic, tactful, polite, thoughtful","","5"
"861","rough","形容詞","でこぼこした、起伏の多い; きめの粗い","The car wasn't built for these rough road conditions.","その車はこのようなでこぼこの路面状態向けには造られていなかった。","/rʌ́f/","harsh, coarse, brutal","smooth","2"
"862","affect","動詞","～に影響を与える、響く; ～を感動させる、動揺させる","Deforestation adversely affects climate change.","森林伐採は気候変動に悪影響を及ぼす。","/əfékt/","impact, influence; impress, move, touch, involve","","3"
"863","royalty","名詞","王族、皇族; 印税、著作権料","In recent times, it has become acceptable for royalty to marry commoners.","最近では王族と一般人との結婚が受け入れられるようになった。","/rɔ́iəlti/","gentry, nobility","","7"
"864","tiresome","形容詞","面倒な、厄介な、煩わしい、いらいらさせる","The children were tiresome and never stopped moving or talking.","その子どもたちは煩わしく、ずっと動き回ったりしゃべったりしていた。","/táiəsəm/","boring, dull, weary","","7"
"865","programme","名詞/動詞","番組; 計画 / (機械など)をプログラムする","The TV programme was on from 9 p.m. every Sunday evening.","そのテレビ番組は毎週日曜日の夜9時から放送されていた。","/próugræm/","agenda, calendar, schedule","","2"
"866","subordinate","形容詞/動詞","下位の / ～を下に見る","In many societies around the world, women are forced to be subordinate to men.","世界中の社会の多くでは、女性は男性に従属させられている。","/səbɔ́:rdənət/ (形), /səbɔ́:rdənèit/ (動)","","","8"
"867","wisdom","名詞","知恵、英知; 賢明さ、分別","My grandfather gained a lot of wisdom through his experiences and travels throughout his life.","祖父は生涯にわたり旅と経験を通して膨大な知恵を身に付けた。","/wízdəm/","insight, sageness, knowledge","","4"
"868","connect","動詞","～をつなぐ、結ぶ; ～を関連付ける; ～を接続する","The internet helps people to connect with each other all around the world.","インターネットは世界中の人びとを互いに結び付きやすくしている。","/kənékt/","link, associate, unite, combine","detach, isolate, separate","3"
"869","materialise","動詞","現実のものとなる、具体化する; 不意に出現する","The negative economic predictions failed to materialise.","マイナスの経済予測は現実とならなかった。","/mətíəriəlàiz/","actualise, embody, emerge, arise","","8"
"870","wealth","名詞","財産、富; 富んだ状態","The majority of his wealth was stored in a bank vault.","彼の財産の大半は銀行の金庫室に保管されていた。","/wélθ/","fortune, prosperity, plenty","","2"
"871","handful","名詞","ひとつかみ、一握り、少数","He grabbed a handful of raisins and started to consume them.","彼は一握りのレーズンをつかみ取り、食べ始めた。","/hǽndfùl/","few","","4"
"872","reflection","名詞","(映った)影、姿; 反射、反響","She adjusted her hair, using the reflection in the puddle.","彼女は水たまりに映った姿を見て髪を直した。","/riflékʃən/","","","5"
"873","accumulate","動詞","たまる、積もる; ～を積み重ねる、蓄積する","Dirt accumulates around the house if it is not cleaned regularly.","定期的に掃除をしなければ、家中に土ぼこりがたまっていく。","/əkjú:mjulèit/","collect","","6"
"874","lord","名詞","貴族(の男性)、…卿; 統治者、首長、君主","Many lords attended the funeral of the famous musician.","多くの貴族がその有名な音楽家の葬儀に参列した。","/lɔ́:rd/","baron, tycoon","","3"
"875","flexibility","名詞","柔軟性、しなやかさ; 融通性、順応性","She was employed due to her flexibility as she was available to work 24/7.","彼女は、どんな曜日のどんな時間でも働けるという柔軟性を買われて採用された。","/flèksəbíləti/","resilience, elasticity","","6"
"876","remind","動詞","～に思い出させる; ～に教える、指摘する","She was told that her eyes and hair reminded people of her mother.","あなたの目と髪を見るとお母さまを思い出す、と彼女は人から言われた。","/rimáind/","","","3"
"877","secular","形容詞","世俗的な、現世的な","The town was becoming more secular now that the religions were losing popularity.","この町はますます世俗的になっていたため、宗教は人気を失っていた。","/sékjulə/","","spiritual","9"
"878","relocate","動詞","移転する; ～を移転させる","We had to relocate after my father was transferred to another office.","父が別の事業所に転勤となり、私たちは転居しなければならなくなった。","/rì:loukéit/","move","","N/A"
"879","evolve","動詞","～を進化させる、徐々に発展させる","It took millions of years for humans to evolve to their current form.","人間が現在の形に進化するまで数百万年を要した。","/ivɔ́lv/","develop, advance","","6"
