"ID","単語","品詞","意味","例文","訳文","発音記号","類義語","反意語","SVL"
"636","factor","名詞","要素","The deciding factor was quality.","決定的な要因は品質でした。","","","",""
"637","pretty","副詞/形容詞","かわいい","The garden looks pretty in spring.","庭は春に美しく見えます。","","","",""
"638","recently","副詞","最近","I recently visited the museum.","最近、博物館を訪れました。","","","",""
"639","affect","動詞","影響する","The weather can affect one’s mood.","天気は人の気分に影響を与えることができます。","","","",""
"640","drop","動詞","落とす","Don’t drop the glass.","グラスを落とさないでください。","","","",""
"641","recent","形容詞","最近の","A recent study revealed surprising facts.","最近の研究で驚くべき事実が明らかになりました。","","","",""
"642","relate","動詞","関係する","I can relate to your story.","あなたの話に共感できます。","","","",""
"643","official","形容詞","正式","The official announcement is awaited.","公式の発表を待っています。","","","",""
"644","financial","形容詞","金融","Financial planning is crucial.","財務計画は非常に重要です。","","","",""
"645","miss","動詞","逃す","I miss my childhood.","私は子供の頃が恋しいです。","","","",""
"646","art","名詞","美術","Art is an expression of feelings.","アートは感情の表現です。","","","",""
"647","campaign","名詞","運動","The campaign was launched last month.","キャンペーンは先月開始されました。","","","",""
"648","private","形容詞","プライベート","This is a private matter.","これは私的な問題です。","","","",""
"649","pause","動詞","一時停止","Pause and reflect.","一時停止して反省してください。","","","",""
"650","everyone","代名詞","みんな","Everyone deserves respect.","すべての人は尊重されるべきです。","","","",""
"651","forget","動詞","忘れる","Don’t forget to smile.","笑顔を忘れないで。","","","",""
"652","page","名詞","ページ","Turn the page to continue.","次に進むにはページをめくってください。","","","",""
"653","worry","名詞/動詞","心配","Don’t worry, be happy.","心配しないで、幸せでいて。","","","",""
"654","summer","名詞","夏","Summer vacations are fun.","夏休みは楽しい。","","","",""
"655","drink","動詞","飲む","Drink plenty of water.","水をたくさん飲んでください。","","","",""
"656","opinion","名詞","意見","Everyone is entitled to their opinion.","すべての人は自分の意見を持つ権利があります。","","","",""
"657","park","名詞","公園","Let’s meet at the park.","公園で会いましょう。","","","",""
"658","represent","動詞","代表する","She will represent our team.","彼女が私たちのチームを代表します。","","","",""
"659","key","名詞","鍵","The key to success is hard work.","成功の鍵は努力です。","","","",""
"660","inside","副詞/前置詞","内部","The surprise is inside the box.","サプライズは箱の中にあります。","","","",""
"661","manager","名詞","マネージャー","The manager will see you now.","マネージャーがあなたに会います。","","","",""
"662","international","形容詞","国際的","It’s an international conference.","これは国際会議です。","","","",""
"663","contain","動詞","含む","The box contains chocolates.","箱の中にはチョコレートが入っています。","","","",""
"664","notice","動詞/名詞","知らせ","I couldn’t help but notice your talent.","あなたの才能に気付かずにはいられませんでした。","","","",""
"665","wonder","名詞/動詞","不思議","I wonder what the future holds.","将来はどうなるのかな。","","","",""
"666","nature","名詞","自然","Nature is healing.","自然は癒しです。","","","",""
"667","structure","名詞","構造","The structure is ancient.","その構造は古代のものです。","","","",""
"668","section","名詞","セクション","The kids’ section is on the second floor.","子供のセクションは2階にあります。","","","",""
"669","myself","代名詞","自分自身","I’ll do it myself.","私自身がそれをやります。","","","",""
"670","exactly","副詞","その通り","That’s exactly what I meant.","それこそが私が意味していたことです。","","","",""
"671","plant","名詞","植物","I’ll plant a tree today.","今日、木を植えようと思います。","","","",""
"672","paint","動詞/名詞","ペイント","I love to paint landscapes.","私は風景を描くのが好きです。","","","",""
"673","worker","名詞","ワーカー","The worker is diligent.","その労働者は勤勉です。","","","",""
"674","press","動詞/名詞","プレス","Press the button to start.","開始するにはボタンを押してください。","","","",""
"675","whatever","代名詞","何でも","Whatever happens, stay calm.","何が起こっても冷静でいてください。","","","",""
"676","necessary","形容詞","必要","It’s necessary to take precautions.","予防策を取ることが必要です。","","","",""
"677","region","名詞","地域","This region is known for its wine.","この地域はワインで知られています。","","","",""
"678","growth","名詞","成長","The growth of the plant was rapid.","植物の成長は急速でした。","","","",""
"679","evening","名詞","夕方","The evening sky was beautiful.","夕方の空が美しかった。","","","",""
"680","influence","名詞","影響","His influence in the community is commendable.","彼のコミュニティでの影響力は賞賛に値します。","","","",""
"681","respect","名詞","尊敬","Respect all, irrespective of their status.","彼らの地位に関係なく、すべての人を尊重してください。","","","",""
"682","various","形容詞","様々な","She has hobbies of various kinds.","彼女はさまざまな種類の趣味を持っています。","","","",""
"683","catch","動詞","キャッチ","Catch the ball!","ボールを捕まえて！","","","",""
"684","thus","副詞","したがって","Thus, the mystery was solved.","このように、謎は解けました。","","","",""
"685","skill","名詞","スキル","Acquiring a new skill is always beneficial.","新しいスキルを習得することは常に有益です。","","","",""
"686","attempt","名詞","試み","She made an attempt to reconcile.","彼女は仲直りしようと試みました。","","","",""
"687","son","名詞","息子","Her son is a doctor.","彼女の息子は医者です。","","","",""
"688","simple","形容詞","単純","Simple things bring joy.","単純なことが喜びをもたらします。","","","",""
"689","medium","名詞","中くらい","The medium of instruction is English.","指導の中間言語は英語です。","","","",""
"690","average","形容詞/名詞","平均","The average score is impressive.","平均スコアは印象的です。","","","",""
"691","stock","名詞","ストック","The stock market is unpredictable.","株市場は予測不可能です。","","","",""
"692","management","名詞","管理","Time management is essential.","時間管理は不可欠です。","","","",""
"693","character","名詞","キャラクター","His character is admirable.","彼の性格は尊敬すべきです。","","","",""
"694","bed","名詞","ベッド","I love to read in bed.","私はベッドで読むのが好きです。","","","",""
"695","hit","動詞","打つ","The song was a hit.","その歌はヒットしました。","","","",""
"696","establish","動詞","確立する","They aim to establish a new school.","彼らは新しい学校を設立することを目指しています。","","","",""
"697","indeed","副詞","確かに","It was, indeed, a great day.","確かに、素晴らしい日でした。","","","",""
"698","final","形容詞","最後の","The final decision rests with you.","最終的な決定はあなた次第です。","","","",""
"699","economy","名詞","経済","The economy is on the rise.","経済は上昇しています。","","","",""
"700","fit","動詞/形容詞","フィット","The dress fits her perfectly.","そのドレスは彼女にぴったり合っています。","","","",""
"701","guy","名詞","男","That guy over there is my brother.","あそこにいるその男は私の兄です。","","","",""
"702","function","名詞","関数","The primary function of the device is recording.","そのデバイスの主な機能は録音です。","","","",""
"703","yesterday","名詞","昨日","I met him yesterday.","昨日彼に会いました。","","","",""
"704","image","名詞","画像","The image is crystal clear.","画像はクリスタルクリアです。","","","",""
"705","size","名詞","サイズ","What size do you wear?","どのサイズを着ていますか？","","","",""
"706","behavior","名詞","行動","His behavior was commendable.","彼の行動は称賛に値します。","","","",""
"707","addition","名詞","追加","The addition of vanilla enhanced the flavor.","バニラの追加が風味を強化しました。","","","",""
"708","determine","動詞","決定する","We need to determine the cause.","原因を特定する必要があります。","","","",""
"709","station","名詞","駅","The train station is nearby.","電車の駅は近くにあります。","","","",""
"710","population","名詞","人口","The city’s population is increasing.","その都市の人口は増加しています。","","","",""
"711","fail","動詞","失敗","Failures are stepping stones to success.","失敗は成功への足がかりです。","","","",""
"712","environment","名詞","環境","We must protect the environment.","私たちは環境を守らなければなりません。","","","",""
"713","production","名詞","生産","The production of the movie has started.","映画の製作が始まりました。","","","",""
"714","contract","名詞","契約","The contract was signed yesterday.","契約は昨日締結されました。","","","",""
"715","player","名詞","プレーヤー","The player scored a goal.","選手がゴールを決めました。","","","",""
"716","comment","名詞","コメント","Please leave a comment below.","下にコメントを残してください。","","","",""
"717","enter","動詞","入力","Enter the room quietly.","静かに部屋に入ってください。","","","",""
"718","occur","動詞","起こる","The event will occur next week.","イベントは来週行われます。","","","",""
"719","alone","副詞/形容詞","一人で","I like to spend some time alone.","一人で時間を過ごすのが好きです。","","","",""
"720","significant","形容詞","重要な","The discovery was significant.","その発見は重要でした。","","","",""
"721","drug","名詞","薬","The drug has been approved.","その薬は承認されました。","","","",""
"722","wall","名詞","壁","The wall has a beautiful mural.","壁には美しい壁画があります。","","","",""
"723","series","名詞","シリーズ","I binge-watched the entire series.","atched the entire series. – 私はそのシリーズ全体を一気に見ました。","","","",""
"724","direct","動詞/形容詞","直接","Direct sunlight can be harmful.","直射日光は有害です。","","","",""
"725","success","名詞","成功","Hard work is the key to success.","努力は成功の鍵です。","","","",""
"726","tomorrow","名詞","明日","Tomorrow is a new day.","明日は新しい日です。","","","",""
"727","director","名詞","監督","The director of the movie won an award.","映画の監督が賞を受賞しました。","","","",""
"728","clearly","副詞","明らかに","Clearly, this is the best choice.","明らかに、これが最良の選択です。","","","",""
"729","lack","名詞/動詞","足らない","Lack of sleep can be harmful.","睡眠不足は有害です。","","","",""
"730","review","名詞","レビュー","I’ll review the document.","その文書を見直します。","","","",""
"731","depend","動詞","依存する","It all depends on the weather.","全ては天気次第です。","","","",""
"732","race","名詞","人種","The race was thrilling.","レースはスリリングでした。","","","",""
"733","recognize","動詞","認識する","I recognize that song.","その曲を認識しています。","","","",""
"734","window","名詞","窓","The window overlooks the garden.","窓から庭が見えます。","","","",""
"735","purpose","名詞","目的","Everything has a purpose.","すべてには目的があります。","","","",""
"736","department","名詞","部門","The sales department is doing well.","営業部は順調です。","","","",""
"737","gain","動詞/名詞","得","There’s a lot to gain from experience.","経験から得るものは多い。","","","",""
"738","tree","名詞","木","The tree stands tall and proud.","木は誇らしげにそびえ立っています。","","","",""
"739","college","名詞","カレッジ","I’ll be going to college next year.","来年、大学に行く予定です。","","","",""
"740","argue","動詞","主張する","Let’s not argue over trivial matters.","ささいなことで口論しないでしょう。","","","",""
"741","board","名詞","ボード","The board will meet tomorrow.","役員会は明日開かれます。","","","",""
"742","holiday","名詞","休日","The holiday was refreshing.","休日はリフレッシュできました。","","","",""
"743","mark","動詞/名詞","マーク","Leave your mark wherever you go.","どこへ行くにも自分の痕跡を残してください。","","","",""
"744","church","名詞","教会","The church bells rang.","教会の鐘が鳴りました。","","","",""
"745","machine","名詞","機械","The machine needs some repairs.","その機械はいくつかの修理が必要です。","","","",""
"746","achieve","動詞","成し遂げる","You can achieve anything with determination.","決意を持っていれば、何でも達成できます。","","","",""
"747","item","名詞","アイテム","The item is out of stock.","その商品は在庫切れです。","","","",""
"748","prove","動詞","証明する","Time will prove everything.","時間がすべてを証明します。","","","",""
"749","cent","名詞","セント","I found a cent on the floor.","床にセントを見つけました。","","","",""
"750","season","名詞","季節","Winter is my favorite season.","冬は私のお気に入りの季節です。","","","",""
"751","floor","名詞","床","The floor was cold.","床は冷たかったです。","","","",""
"752","stuff","名詞","もの","I need to organize my stuff.","私の物を整理する必要があります。","","","",""
"753","wide","形容詞","広い","The road is wide and clear.","道路は広くてきれいです。","","","",""
"754","anyone","代名詞","誰でも","Is there anyone home?","誰か家にいますか？","","","",""
"755","method","名詞","方法","This method is effective.","この方法は効果的です。","","","",""
"756","analysis","名詞","分析","The analysis revealed some insights.","分析でいくつかの洞察が明らかになりました。","","","",""
"757","election","名詞","選挙","The election results are out.","選挙の結果が発表されました。","","","",""
"758","military","名詞","軍隊","The military parade was grand.","軍のパレードは壮大でした。","","","",""
"759","hotel","名詞","ホテル","I booked a room in that hotel.","そのホテルで部屋を予約しました。","","","",""
"760","club","名詞","クラブ","The club meets every Friday.","そのクラブは毎週金曜日に集まります。","","","",""
"761","below","前置詞","下に","The answer is given below.","答えは下に記載されています。","","","",""
"762","movie","名詞","映画","The movie was entertaining.","その映画は楽しかったです。","","","",""
"763","doctor","名詞","医者","The doctor advised some rest.","医師は少し休むようにと助言しました。","","","",""
"764","discussion","名詞","議論","The discussion was enlightening.","議論は啓発的でした。","","","",""
"765","sorry","形容詞","ごめん","I’m sorry for the mistake.","間違いをお許し下さい。","","","",""
"766","challenge","名詞","チャレンジ","Every challenge brings an opportunity.","すべての挑戦には機会がもたらされます。","","","",""
"767","nation","名詞","国家","The nation celebrated together.","国全体で祝いました。","","","",""
"768","nearly","副詞","ほぼ","The task is nearly complete.","仕事はほぼ完了しています。","","","",""
"769","statement","名詞","声明","The statement was controversial.","その声明は物議を醸しました。","","","",""
"770","link","名詞","リンク","The link between the two events was clear.","二つのイベントの間の関連性は明らかでした。","","","",""
"771","despite","前置詞","にもかかわらず","Despite the challenges, he succeeded.","困難にも関わらず、彼は成功しました。","","","",""
"772","introduce","動詞","導入","Let me introduce you to my friend.","私の友人を紹介させてください。","","","",""
"773","advantage","名詞","アドバンテージ","The advantage is clear.","利点は明確です。","","","",""
"774","ready","形容詞","準備ができて","I’m ready for the challenge.","私は挑戦の準備ができています。","","","",""
"775","marry","動詞","結婚","They will marry next month.","彼らは来月結婚する予定です。","","","",""
"776","strike","動詞/名詞","ストライク","The workers went on strike.","労働者たちはストライキをしました。","","","",""
"777","mile","名詞","マイル","We walked a mile together.","私たちは一緒に1マイル歩きました。","","","",""
"778","seek","動詞","求める","Seek and you shall find.","探せば見つかるでしょう。","","","",""
"779","ability","名詞","能力","His ability is commendable.","彼の能力は称賛に値します。","","","",""
"780","unit","名詞","ユニット","The unit is functional.","そのユニットは機能しています。","","","",""
"781","card","名詞","カード","I got a beautiful birthday card.","美しい誕生日のカードをもらいました。","","","",""
"782","hospital","名詞","病院","The hospital is nearby.","病院は近くにあります。","","","",""
"783","quickly","副詞","素早く","Act quickly before it’s too late.","遅くなる前にすぐに行動してください。","","","",""
"784","interview","名詞","インタビュー","The interview went well.","面接はうまくいきました。","","","",""
"785","agreement","名詞","合意","They came to an agreement.","彼らは合意に達しました。","","","",""
"786","release","動詞/名詞","リリース","The movie release was postponed.","映画の公開が延期されました。","","","",""
"787","tax","名詞","税","Tax evasion is a crime.","脱税は犯罪です。","","","",""
"788","solution","名詞","解決","The solution is simple.","解決策はシンプルです。","","","",""
"789","capital","名詞","資本","The capital city is bustling.","首都は賑わっています。","","","",""
"790","popular","形容詞","人気のある","The song became popular overnight.","その曲は一晩で人気になりました。","","","",""
"791","specific","形容詞","特定の","Be specific in your demands.","要求に具体的であってください。","","","",""
"792","beautiful","形容詞","美しい","The view is simply beautiful.","その景色は単純に美しい。","","","",""
"793","fear","名詞","恐れ","Fear nothing but fear itself.","恐れるものは恐れそのものだけ。","","","",""
"794","aim","名詞","標的","Aim high and reach for the stars.","高く目指し、星に手を伸ばす。","","","",""
"795","television","名詞","テレビ","The television show was a hit.","そのテレビ番組はヒットしました。","","","",""
"796","serious","形容詞","深刻な","The matter is serious.","この問題は深刻です。","","","",""
"797","target","名詞","目標","The target was achieved.","目標は達成されました。","","","",""
"798","degree","名詞","程度","He has a degree in physics.","彼は物理学の学位を持っています。","","","",""
"799","pull","動詞","引く","Pull the door to open it.","ドアを引っ張って開けてください。","","","",""
"800","red","形容詞","赤","The red dress suited her beautifully.","その赤いドレスは彼女にとても似合っていました。","","","",""
"801","husband","名詞","夫","Her husband is an engineer.","彼女の夫はエンジニアです。","","","",""
"802","access","名詞","アクセス","You have access to the database.","あなたはデータベースにアクセスできます。","","","",""
"803","movement","名詞","動き","The movement for equality is growing.","平等を求める運動が拡大しています。","","","",""
"804","treat","動詞","扱う","Treat others how you wish to be treated.","自分がされたいように他人を扱いなさい。","","","",""
"805","identify","動詞","識別する","Can you identify the culprit?","犯人を特定できますか？","","","",""
"806","loss","名詞","損失","The loss of a loved one is profound.","大切な人を失うことは深い悲しみです。","","","",""
"807","shall","助動詞","しなければならない","We shall overcome.","私たちは乗り越えるでしょう。","","","",""
"808","modern","形容詞","モダンな","The house has a modern design.","その家はモダンなデザインです。","","","",""
"809","pressure","名詞","プレッシャー","Pressure can either break or make diamonds.","圧力はダイヤモンドを壊すことも、作ることもできます。","","","",""
"810","bus","名詞","バス","The bus arrives at 10 am.","バスは午前10時に到着します。","","","",""
"811","treatment","名詞","処理","The treatment was effective.","その治療は効果的でした。","","","",""
"812","conference","名詞","会議","I’ll be attending a conference next week.","来週、私は会議に参加する予定です。","","","",""
"813","yourself","代名詞","自分自身","Believe in yourself.","自分を信じなさい。","","","",""
"814","supply","名詞/動詞","供給","The supply meets the demand.","供給は需要を満たしています。","","","",""
"815","village","名詞","村","The village is serene and calm.","その村は静かで穏やかです。","","","",""
"816","worth","名詞/形容詞","価値","Your worth is immeasurable.","あなたの価値は計り知れない。","","","",""
"817","natural","形容詞","自然","Natural beauty is unparalleled.","自然の美しさは比類ない。","","","",""
"818","express","動詞/名詞","急行","Express your feelings openly.","感情を公然と表現しなさい。","","","",""
"819","indicate","動詞","示す","The signs indicate a detour.","標識は迂回を示しています。","","","",""
"820","attend","動詞","出席する","I’ll attend the seminar.","セミナーに参加します。","","","",""
"821","brother","名詞","兄弟","My brother is a doctor.","私の兄は医者です。","","","",""
"822","investment","名詞","投資","Investment in education pays the best interest.","教育への投資は最も利益をもたらします。","","","",""
"823","score","名詞/動詞","スコア","The final score was surprising.","最終スコアは驚きでした。","","","",""
"824","organize","動詞","整理する","Organize the event well.","イベントをしっかりと組織してください。","","","",""
"825","trip","名詞","旅行","The trip was unforgettable.","その旅は忘れられないものでした。","","","",""
"826","beyond","前置詞","超えて","Beyond the horizon lies a mystery.","地平線の向こうには謎が広がっています。","","","",""
"827","sleep","動詞","寝る","Sleep is essential for health.","睡眠は健康に不可欠です。","","","",""
"828","fish","名詞/動詞","魚","I love to fish on weekends.","週末には釣りをするのが好きです。","","","",""
"829","promise","名詞/動詞","約束","Always keep your promise.","約束は必ず守りなさい。","","","",""
"830","potential","名詞","潜在的","Every child has immense potential.","すべての子供には計り知れない可能性があります。","","","",""
"831","energy","名詞","エネルギー","Renewable energy is the future.","再生可能エネルギーは未来です。","","","",""
"832","trouble","名詞","トラブル","Don’t invite trouble.","問題を招かないでください。","","","",""
"833","relation","名詞","関係","Our relation is strong.","私たちの関係は強いです。","","","",""
"834","touch","動詞/名詞","触る","Stay in touch.","連絡を取り合いましょう。","","","",""
"835","file","名詞/動詞","ファイル","File the documents alphabetically.","文書をアルファベット順にファイルしてください。","","","",""
"836","middle","名詞","真ん中","The middle path is often the best.","中道が最も良いことが多いです。","","","",""
"837","bar","名詞","バー","Let’s meet at the bar.","バーで会いましょう。","","","",""
"838","suffer","動詞","苦しむ","No one should suffer in silence.","誰もが静かに苦しむべきではありません。","","","",""
"839","strategy","名詞","戦略","A good strategy ensures victory.","良い戦略は勝利を保証します。","","","",""
"840","deep","形容詞","深い","The ocean is deep and mysterious.","海は深く、神秘的です。","","","",""
"841","except","前置詞","を除外する","Everyone attended, except John.","ジョンを除くすべての人が参加しました。","","","",""
"842","clean","形容詞/動詞","クリーン","Clean surroundings promote health.","清潔な環境は健康を促進します。","","","",""
"843","tend","動詞","傾向がある","Flowers tend to bloom in spring.","花は春に咲く傾向があります。","","","",""
"844","advance","動詞/名詞","前進","Advance bookings are available.","事前予約が可能です。","","","",""
"845","fill","動詞","埋める","Fill the form carefully.","フォームを慎重に記入してください。","","","",""
"846","star","名詞","星","The night sky was full of stars.","夜空は星でいっぱいでした。","","","",""
"847","network","名詞","通信網","Building a strong network is vital.","強固なネットワークを構築することは重要です。","","","",""
"848","generally","副詞","一般的に","Generally, I don’t prefer spicy food.","一般的に、私は辛い食べ物を好みません。","","","",""
"849","operation","名詞","手術","The operation was successful.","手術は成功しました。","","","",""
"850","match","名詞/動詞","マッチ","The match was exhilarating.","試合は非常に興奮させるものでした。","","","",""
"851","avoid","動詞","避ける","Avoid negative thoughts.","ネガティブな考えを避けてください。","","","",""
"852","seat","名詞","シート","Please take a seat.","どうぞお座りください。","","","",""
"853","throw","動詞","投げる","Don’t throw garbage on the street.","ごみを道路に捨てないでください。","","","",""
"854","task","名詞","タスク","The task was challenging.","その仕事は挑戦的でした。","","","",""
"855","normal","形容詞","普通","This is the new normal.","これが新しい日常です。","","","",""
"856","goal","名詞","ゴール","Setting a clear goal is crucial.","明確な目標を設定することは重要です。","","","",""
"857","associate","動詞/名詞","仲間","I associate that song with good memories.","その曲を良い思い出と結びつけています。","","","",""
"858","blue","形容詞","青","The blue sky looked mesmerizing.","青空は魅力的に見えました。","","","",""
"859","positive","形容詞","ポジティブ","Stay positive and hopeful.","前向きで希望に満ちていてください。","","","",""
"860","option","名詞","オプション","Exploring all options is wise.","すべての選択肢を探ることは賢明です。","","","",""
"861","box","名詞","箱","The box contains a surprise.","その箱の中には驚きが入っています。","","","",""
"862","huge","形容詞","巨大な","The crowd was huge.","人だかりはとても大きかったです。","","","",""
"863","message","名詞","メッセージ","The message was heartwarming.","そのメッセージは心温まるものでした。","","","",""
"864","instance","名詞","実例","For instance, consider this example.","たとえば、この例を考えてみてください。","","","",""
"865","style","名詞","スタイル","Her style is unique.","彼女のスタイルはユニークです。","","","",""
"866","refer","動詞","参照する","Refer to the guidebook for instructions.","指示についてはガイドブックを参照してください。","","","",""
"867","cold","形容詞","寒い","The cold wind blew.","冷たい風が吹きました。","","","",""
"868","push","動詞","押す","Push the door to open.","ドアを押して開けてください。","","","",""
"869","quarter","名詞","四半期","I’ll be there in a quarter of an hour.","15分後にそこに行きます。","","","",""
"870","assume","動詞","仮定する","Don’t assume without knowing.","知らずに仮定しないでください。","","","",""
"871","baby","名詞","赤ちゃん","The baby giggled.","赤ちゃんはくすくす笑いました。","","","",""
"872","successful","形容詞","成功","A successful person never gives up.","成功した人は決してあきらめません。","","","",""
"873","sing","動詞","歌う","Sing from your heart.","心から歌いなさい。","","","",""
"874","doubt","名詞/動詞","疑い","When in doubt, ask.","疑問があるときは、質問してください。","","","",""
"875","competition","名詞","競争","Competition brings out the best.","競争は最善を引き出します。","","","",""
"876","theory","名詞","理論","The theory was intriguing.","その理論は興味深いものでした。","","","",""
"877","propose","動詞","提案します","I propose a toast.","乾杯の提案をします。","","","",""
"878","reference","名詞","参照","Reference the sources properly.","正しく情報源を参照してください。","","","",""
"879","argument","名詞","口論","Avoid unnecessary arguments.","不要な議論を避けてください。","","","",""
"880","adult","名詞","アダルト","Adult supervision is required.","大人の監督が必要です。","","","",""
"881","fly","動詞","飛ぶ","Birds fly in the sky.","鳥は空を飛びます。","","","",""
"882","document","名詞","書類","Document every detail.","すべての詳細を文書化してください。","","","",""
"883","pattern","名詞","パターン","The pattern was intricate.","パターンは複雑でした。","","","",""
"884","application","名詞","応用","I submitted the application.","申し込みを提出しました。","","","",""
"885","hot","形容詞","熱い","The coffee is too hot.","コーヒーは熱すぎます。","","","",""
"886","obviously","副詞","明らかに","Obviously, it’s the right choice.","明らかに、それは正しい選択です。","","","",""
"887","unclear","形容詞","不明","The instructions were unclear.","指示は不明瞭でした。","","","",""
"888","bill","名詞","請求書","The bill was unexpectedly high.","請求額は予想以上に高かったです。","","","",""
"889","search","名詞/動詞","検索","Search for the truth.","真実を探し求めてください。","","","",""
"890","separate","動詞/形容詞","別","Separate the whites from the yolks.","白身と黄身を分けてください。","","","",""
"891","central","形容詞","中央","The central theme was love.","中心的なテーマは愛でした。","","","",""
"892","career","名詞","キャリア","She had a successful career.","彼女は成功したキャリアを持っていました。","","","",""
"893","anyway","副詞","ともかく","Anyway, let’s move on.","とにかく、先に進みましょう。","","","",""
"894","speech","名詞","スピーチ","The speech was motivating.","そのスピーチはモチベーションを上げるものでした。","","","",""
"895","dog","名詞","犬","The dog wagged its tail.","犬はしっぽを振りました。","","","",""
"896","officer","名詞","役員","The officer was kind.","その役人は親切でした。","","","",""
"897","throughout","前置詞","全体を通して","Throughout history, change has been constant.","歴史を通じて、変化は常に存在してきました。","","","",""
"898","oil","名詞","油","Oil and water don’t mix.","油と水は混ざりません。","","","",""
"899","dress","名詞/動詞","ドレス","The dress was elegant.","そのドレスはエレガントでした。","","","",""
"900","profit","名詞","利益","The business made a significant profit this year.","そのビジネスは今年、大きな利益を上げました。","","","",""
"901","guess","動詞/名詞","推測","Let me guess, you’re thinking about pizza?","あなたがピザを考えているのは、当たっていますか？","","","",""
"902","fun","名詞/形容詞","楽しい","Weekends are fun with friends.","週末は友達と楽しい。","","","",""
"903","protect","動詞","守る","We must protect endangered species.","絶滅の危機にある種を守らなければなりません。","","","",""
"904","resource","名詞","リソース","Water is a precious resource.","水は貴重な資源です。","","","",""
"905","science","名詞","科学","Science seeks the truth.","科学は真実を追求します。","","","",""
"906","disease","名詞","病気","Prevention is better than curing the disease.","病気の治療よりも予防が良い。","","","",""
"907","balance","名詞/動詞","バランス","Balance work and play for a happy life.","幸せな人生のために仕事と遊びをバランスよくする。","","","",""
"908","damage","名詞/動詞","ダメージ","The storm caused significant damage.","その嵐は大きな被害をもたらしました。","","","",""
"909","basis","名詞","基礎","Respect should be the basis of every relationship.","尊重はすべての関係の基盤であるべきです。","","","",""
"910","author","名詞","著者","The author of the book is renowned.","その本の著者は著名です。","","","",""
"911","basic","形容詞","基本","The basic necessities are food, shelter, and clothing.","基本的な必需品は食べ物、住居、衣服です。","","","",""
"912","encourage","動詞","奨励する","Always encourage young talent.","若い才能を常に励ましてください。","","","",""
"913","hair","名詞","髪","Her hair shone in the sunlight.","彼女の髪は日光の中で輝いていました。","","","",""
"914","male","名詞/形容詞","男","The male lion roared.","オスのライオンが吠えました。","","","",""
"915","operate","動詞","動作します","The machine is tricky to operate.","その機械は操作が難しい。","","","",""
"916","reflect","動詞","反映する","Mirrors reflect our image.","鏡は私たちの姿を反映します。","","","",""
"917","exercise","名詞/動詞","エクササイズ","Exercise is vital for good health.","運動は健康のために非常に重要です。","","","",""
"918","useful","形容詞","役に立つ","This tool is very useful.","この道具は非常に役立ちます。","","","",""
"919","restaurant","名詞","レストラン","The restaurant serves delicious food.","そのレストランはおいしい料理を提供します。","","","",""
"920","income","名詞","所得","The monthly income meets the expenses.","月収は支出を満たしています。","","","",""
"921","property","名詞","財産","The property is on sale.","その不動産は販売中です。","","","",""
"922","previous","形容詞","前の","The previous record was broken.","以前の記録は破られました。","","","",""
"923","dark","形容詞","暗い","The dark clouds signaled rain.","暗い雲は雨の合図でした。","","","",""
"924","imagine","動詞","想像する","Imagine a world without hatred.","憎しみのない世界を想像してみてください。","","","",""
"925","okay","副詞","わかった","Everything will be okay.","すべて大丈夫になります。","","","",""
"926","earn","動詞","得る","Hard work will earn you success.","努力は成功をもたらします。","","","",""
"927","daughter","名詞","娘","His daughter is a pianist.","彼の娘はピアニストです。","","","",""
"928","post","名詞/動詞","役職","I’ll post the letter tomorrow.","明日、手紙を投函します。","","","",""
"929","newspaper","名詞","新聞","Reading the newspaper is a good habit.","新聞を読むのは良い習慣です。","","","",""
"930","define","動詞","定義する","How do you define success?","あなたは成功をどのように定義しますか？","","","",""
"931","conclusion","名詞","結論","The conclusion was unexpected.","結論は予想外でした。","","","",""
"932","clock","名詞","時計","The clock is ticking.","時計は刻んでいます。","","","",""
"933","everybody","代名詞","みんな","Everybody deserves love.","すべての人が愛に値する。","","","",""
"934","weekend","名詞","週末","The weekend getaway was refreshing.","週末の小旅行はリフレッシュできました。","","","",""
"935","perform","動詞","実行する","The artist will perform tonight.","そのアーティストは今夜パフォーマンスを行います。","","","",""
"936","professional","名詞/形容詞","プロ","Seek professional advice when in doubt.","疑問があるときは専門家のアドバイスを求めてください。","","","",""
"937","mine","代名詞/名詞","私の","This book is mine.","この本は私のものです。","","","",""
"938","debate","名詞/動詞","議論","The debate was intense.","討論は激しかったです。","","","",""
"939","memory","名詞","メモリ","Memory plays tricks on us.","記憶は私たちにいたずらをします。","","","",""
"940","green","形容詞","緑","The green meadow was serene.","緑の草原は静かでした。","","","",""
"941","song","名詞","歌","The song touched my heart.","その歌は私の心に触れました。","","","",""
"942","object","名詞","物体","The object of interest was a vintage clock.","興味の対象はヴィンテージの時計でした。","","","",""
"943","maintain","動詞","維持する","Maintain a healthy lifestyle.","健康的なライフスタイルを維持してください。","","","",""
"944","credit","名詞","クレジット","Credit goes to the entire team.","チーム全体の功績です。","","","",""
"945","ring","名詞/動詞","指輪","The ring sparkled beautifully.","指輪は美しく輝いていました。","","","",""
"946","discover","動詞","発見する","Discover the joys of reading.","読む喜びを発見してください。","","","",""
"947","dead","形容詞","死んだ","Dead leaves covered the ground.","落ち葉が地面を覆っていました。","","","",""
"948","afternoon","名詞","午後","The afternoon sun was warm.","午後の太陽は暖かかったです。","","","",""
